name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
madrid,2020-01-20,6.4,1.7,4,2.2,-2.6,-0.2,-10.6,34.2,0.206,100,33.33,"rain,snow",0,0,59,28,45,1024.1,78.4,21,37.8,3.1,2,,2020-01-20T08:33:51,2020-01-20T18:17:48,0.84,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"08221099999,08224099999,LEMD,D8661,08226099999,LETO,08219099999,08213099999,08222099999,08223099999,08220099999,08215099999"
madrid,2020-01-21,7.3,3.9,5.2,3.9,-0.8,1.2,-1.9,61.2,2.566,100,50,rain,0,0.3,58.3,28.5,45.2,1019.9,85.4,20.2,27.4,2.4,2,,2020-01-21T08:33:16,2020-01-21T18:18:58,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"08221099999,08224099999,LEMD,D8661,08226099999,LETO,08219099999,08213099999,08222099999,08223099999,08220099999,08215099999"
madrid,2020-01-22,10.1,4.5,6.4,10.1,0.5,4,0.9,68.3,1.058,100,20.83,rain,0,0,40.7,21.2,56.6,1018.8,85.5,19.4,69.3,5.9,4,,2020-01-22T08:32:40,2020-01-22T18:20:09,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"08224099999,D8661,08219099999,08220099999,08215099999,08221099999,LEMD,LEVS,08226099999,LETO,08213099999,08222099999,08223099999"
madrid,2020-01-23,10.5,2,6.2,10.5,-0.8,4.5,0.9,69.6,0,0,0,,0,0,28.8,14,71.2,1019.6,44.5,13.7,100.3,8.7,5,,2020-01-23T08:32:01,2020-01-23T18:21:20,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,LEMD,D8661,08226099999,LETO,08219099999,08213099999,08222099999,08223099999,08220099999,08215099999"
madrid,2020-01-24,8.6,5.8,7.1,8.6,3.6,6.4,3.8,79.8,2.534,100,29.17,rain,0,0,18.4,11.1,116.8,1020.5,93.6,12.9,36.9,3.3,2,,2020-01-24T08:31:21,2020-01-24T18:22:32,0,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"08221099999,08224099999,LEMD,D8661,08226099999,LETO,08219099999,08213099999,08222099999,08223099999,08220099999,08215099999"
madrid,2020-01-25,8.9,5.9,7.1,8.3,4.5,6.2,5,86.4,10.091,100,75,rain,0,0,18.3,13.9,133,1017.7,93.7,10.5,27.7,2.3,2,,2020-01-25T08:30:38,2020-01-25T18:23:44,0.02,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"08224099999,D8661,08219099999,08220099999,08215099999,08221099999,LEMD,LEVS,08226099999,LETO,08213099999,08222099999,08223099999"
madrid,2020-01-26,10.6,2.5,6.1,10.6,2.5,5.9,2.7,80.2,0.011,100,8.33,rain,0,0,24.1,16.8,245.7,1022.6,57.6,10.7,67.4,5.8,4,,2020-01-26T08:29:54,2020-01-26T18:24:56,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"08224099999,08219099999,08220099999,08215099999,08221099999,LEMD,D4212,LEVS,08226099999,LETO,08213099999,08222099999,08223099999"
madrid,2020-01-27,8.8,0.7,5.1,6.5,0.7,4.2,2.7,84.7,0.1,100,8.33,rain,0,0,39.2,20.6,240.9,1024.6,86.1,12.5,18.6,1.7,1,,2020-01-27T08:29:07,2020-01-27T18:26:09,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"08221099999,08224099999,LEMD,D8661,08226099999,LETO,08219099999,08213099999,08222099999,08223099999,08220099999,08215099999"
madrid,2020-01-28,12.6,7.7,10.1,12.6,5.4,9.2,7.4,83.7,0.095,100,4.17,rain,0,0,77.8,29.7,243.8,1022.3,85.8,19.8,47.9,3.9,2,,2020-01-28T08:28:19,2020-01-28T18:27:22,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"08221099999,08224099999,LEMD,D8661,08226099999,LETO,08219099999,08213099999,08222099999,08223099999,08220099999,08215099999"
madrid,2020-01-29,13.3,9.7,10.9,13.3,8.6,10.8,7.8,81.4,0.096,100,8.33,rain,0,0,30.2,21.4,241.2,1023.6,86.1,20.1,67.5,5.8,4,,2020-01-29T08:27:29,2020-01-29T18:28:35,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"08224099999,D8661,08219099999,08220099999,08215099999,08221099999,LEMD,LEVS,08226099999,LETO,08213099999,08222099999,08223099999"
madrid,2020-01-30,11.7,8.2,9.7,11.7,7,9.1,6.3,79.8,0.001,100,4.17,rain,0,0,33.8,18.6,240.5,1024.4,78.2,18.7,55.5,4.7,2,,2020-01-30T08:26:37,2020-01-30T18:29:48,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"08221099999,08224099999,LEMD,D8661,08226099999,LETO,08219099999,08213099999,08222099999,08223099999,08220099999,08215099999"
madrid,2020-01-31,14.7,9.2,11.2,14.7,7.8,10.8,7.6,79.2,0.192,100,12.5,rain,0,0,27.7,21.5,246.3,1024.2,83.1,18.7,84.1,7.2,5,,2020-01-31T08:25:43,2020-01-31T18:31:02,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"08221099999,08224099999,LEMD,D8661,08226099999,LETO,08219099999,08213099999,08222099999,08223099999,08220099999,08215099999"
madrid,2020-02-01,17.5,11.1,13,17.5,11.1,13,9.3,78.8,0.273,100,16.67,rain,0,0,28.4,24.3,241.6,1025.1,71,18.7,127.6,11.1,6,,2020-02-01T08:24:47,2020-02-01T18:32:15,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"08224099999,D8661,08219099999,08220099999,08215099999,08221099999,LEMD,LEVS,08226099999,LETO,08213099999,08222099999,08223099999"
madrid,2020-02-02,12.9,9.6,10.9,12.9,9.6,10.9,8.4,85,0.001,100,4.17,rain,0,0,17.3,4.3,236.7,1030.8,95.5,10.8,33.1,2.8,1,,2020-02-02T08:23:50,2020-02-02T18:33:29,0.25,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"08224099999,D8661,08219099999,08220099999,08215099999,08221099999,LEMD,LEVS,08226099999,LETO,08213099999,08222099999,08223099999"
madrid,2020-02-03,18.9,8.2,11.8,18.9,8.2,11.7,6.8,73.3,0,0,0,,0,0,16.9,8.9,58.9,1031.4,58.3,9.4,128.4,11.1,5,,2020-02-03T08:22:51,2020-02-03T18:34:42,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08224099999,D8661,08219099999,08220099999,08215099999,08221099999,LEMD,LEVS,08226099999,LETO,08213099999,08222099999,08223099999"
